date,district,rain_mm,tmax_c,tmin_c,tavg_c
2026-05-03,Ajmer,0.0,39.6,26.8,33.2
2026-05-04,Ajmer,1.5,38.7,25.2,31.950000000000003
2026-05-03,Alwar,0.0,37.8,24.0,30.9
2026-05-04,Alwar,12.6,36.7,22.4,29.55
2026-05-03,Banswara,0.0,38.2,26.0,32.1
2026-05-04,Banswara,0.0,38.7,26.1,32.400000000000006
2026-05-03,Barmer,0.0,41.1,26.3,33.7
2026-05-04,Barmer,0.0,41.7,25.8,33.75
2026-05-03,Bhilwara,0.0,38.7,25.1,31.900000000000002
2026-05-04,Bhilwara,0.0,36.9,25.8,31.35
2026-05-03,Bikaner,0.0,43.1,28.9,36.0
2026-05-04,Bikaner,0.1,38.7,27.4,33.05
2026-05-03,Bundi,0.0,41.0,25.6,33.3
2026-05-04,Bundi,4.1,39.2,24.7,31.950000000000003
2026-05-03,Chittaurgarh,0.0,37.6,25.0,31.3
2026-05-04,Chittaurgarh,0.1,38.2,24.5,31.35
2026-05-03,Churu,0.0,41.8,27.4,34.599999999999994
2026-05-04,Churu,0.1,38.7,26.5,32.6
2026-05-03,Dhaulpur,0.1,39.8,24.6,32.2
2026-05-04,Dhaulpur,0.9,37.8,24.1,30.95
2026-05-03,Ganganagar,0.0,41.3,26.0,33.65
2026-05-04,Ganganagar,4.8,37.0,23.0,30.0
2026-05-03,Hanumangarh,0.0,41.7,26.0,33.85
2026-05-04,Hanumangarh,0.0,37.3,23.9,30.599999999999998
2026-05-03,Jaipur,0.0,39.0,27.4,33.2
2026-05-04,Jaipur,1.9,36.9,24.0,30.45
2026-05-03,Jaisalmer,0.0,41.8,27.5,34.65
2026-05-04,Jaisalmer,0.0,40.2,26.2,33.2
2026-05-03,Jhalawar,0.0,40.8,26.5,33.65
2026-05-04,Jhalawar,4.1,38.1,25.6,31.85
2026-05-03,Jodhpur,0.0,40.5,27.5,34.0
2026-05-04,Jodhpur,0.0,39.3,27.5,33.4
2026-05-03,Kota,0.0,40.9,25.6,33.25
2026-05-04,Kota,0.0,38.7,26.1,32.400000000000006
2026-05-03,Nagaur,0.0,40.2,28.4,34.3
2026-05-04,Nagaur,0.0,40.5,26.1,33.3
2026-05-03,Pali,0.0,40.9,27.6,34.25
2026-05-04,Pali,0.0,41.0,26.9,33.95
2026-05-03,Sawai Madhopur,0.0,39.8,26.7,33.25
2026-05-04,Sawai Madhopur,0.9,37.5,24.0,30.75
2026-05-03,Sikar,0.0,40.3,27.5,33.9
2026-05-04,Sikar,0.4,37.0,24.8,30.9
2026-05-03,Sirohi,0.0,39.6,25.6,32.6
2026-05-04,Sirohi,0.0,40.2,25.5,32.85
2026-05-03,Udaipur,0.0,36.3,22.4,29.349999999999998
2026-05-04,Udaipur,0.0,36.5,22.2,29.35
