date,district,rain_mm,tmax_c,tmin_c,tavg_c
2017-01-01,Ajmer,0.0,21.93362,11.112755,16.523188
2017-01-02,Ajmer,0.0,22.708483,9.865763,16.287123
2017-01-03,Ajmer,0.0,24.492485,9.370514,16.9315
2017-01-04,Ajmer,0.0,26.250954,10.094159,18.172556
2017-01-05,Ajmer,0.0,26.180687,9.355327,17.768007
2017-01-06,Ajmer,0.0,23.167759,10.794292,16.981026
2017-01-07,Ajmer,0.0,22.614948,11.350276,16.982613
2017-01-08,Ajmer,0.0,21.108044,10.852862,15.9804535
2017-01-09,Ajmer,0.0,20.779995,9.2094145,14.994705
2017-01-10,Ajmer,0.0,20.518295,6.099299,13.308797
2017-01-11,Ajmer,0.0,19.621048,4.132067,11.876557
2017-01-12,Ajmer,0.0,20.510231,3.6453426,12.077786
2017-01-13,Ajmer,0.0,21.858688,3.6617198,12.760204
2017-01-14,Ajmer,0.0,20.351828,6.5282626,13.440045
2017-01-15,Ajmer,0.0,23.60349,8.612122,16.107807
2017-01-16,Ajmer,0.0,20.111696,8.419401,14.265549
2017-01-17,Ajmer,0.0,19.700294,4.8610644,12.28068
2017-01-18,Ajmer,0.0,21.707197,5.770542,13.73887
2017-01-19,Ajmer,0.0,21.11609,7.0359964,14.076044
2017-01-20,Ajmer,0.0,21.187822,6.9670434,14.077433
2017-01-21,Ajmer,0.0,22.3109,8.906272,15.608585
2017-01-22,Ajmer,0.0,25.607588,11.02577,18.316679
2017-01-23,Ajmer,0.0,27.085026,11.096009,19.090517
2017-01-24,Ajmer,0.0,28.668442,13.047697,20.85807
2017-01-25,Ajmer,0.0,27.79942,14.388935,21.094177
2017-01-26,Ajmer,3.4441664,19.788898,13.804834,16.796867
2017-01-27,Ajmer,5.543351,19.860842,10.199209,15.0300255
2017-01-28,Ajmer,0.0,21.79079,8.825753,15.308271
2017-01-29,Ajmer,0.0,24.902699,9.603044,17.25287
2017-01-30,Ajmer,0.0,27.109343,10.005679,18.55751
2017-01-31,Ajmer,0.0,27.074663,10.542629,18.808647
2017-02-01,Ajmer,0.0,25.645298,10.784882,18.21509
2017-02-02,Ajmer,0.0,26.625374,11.919276,19.272326
2017-02-03,Ajmer,0.0,28.143587,12.332031,20.237808
2017-02-04,Ajmer,0.0,27.49023,14.661776,21.076004
2017-02-05,Ajmer,0.0,26.187551,15.008673,20.598112
2017-02-06,Ajmer,0.0,23.470211,8.858068,16.164139
2017-02-07,Ajmer,0.0,23.134802,8.202233,15.668518
2017-02-08,Ajmer,0.0,25.899273,8.780247,17.33976
2017-02-09,Ajmer,0.0,24.467712,8.973714,16.720713
2017-02-10,Ajmer,0.0,23.565422,8.727694,16.146557
2017-02-11,Ajmer,0.0,24.428852,8.422633,16.425743
2017-02-12,Ajmer,0.0,25.0533,9.396358,17.224829
2017-02-13,Ajmer,0.0,26.137455,10.27548,18.206467
2017-02-14,Ajmer,0.0,28.033089,9.307385,18.670237
2017-02-15,Ajmer,0.0,30.367737,10.876208,20.621973
2017-02-16,Ajmer,0.0,31.235464,12.989993,22.112728
2017-02-17,Ajmer,0.0,32.413757,15.17935,23.796555
2017-02-18,Ajmer,0.0,33.7132,14.6024475,24.157824
2017-02-19,Ajmer,0.0,34.241703,16.161346,25.201525
2017-02-20,Ajmer,0.0,31.429678,16.90915,24.169415
2017-02-21,Ajmer,0.0,28.413555,12.156375,20.284966
2017-02-22,Ajmer,0.0,28.557695,10.618765,19.58823
2017-02-23,Ajmer,0.0,28.578768,11.156262,19.867516
2017-02-24,Ajmer,0.0,28.645998,10.381982,19.51399
2017-02-25,Ajmer,0.0,31.351192,11.624972,21.488083
2017-02-26,Ajmer,0.0,30.682695,12.806259,21.744476
2017-02-27,Ajmer,0.0,33.075848,13.404919,23.240383
2017-02-28,Ajmer,0.0,33.864822,15.732134,24.798477
2017-03-01,Ajmer,0.0,31.563858,16.749477,24.156668
2017-03-02,Ajmer,0.0,30.680199,17.121754,23.900976
2017-03-03,Ajmer,0.014684498,29.164076,15.009621,22.08685
2017-03-04,Ajmer,0.0,29.18658,13.708066,21.447323
2017-03-05,Ajmer,0.0,30.417303,13.303114,21.860209
2017-03-06,Ajmer,0.0,31.521797,12.824933,22.173365
2017-03-07,Ajmer,0.0,31.77612,14.949318,23.362719
2017-03-08,Ajmer,0.0,29.395687,16.49184,22.943764
2017-03-09,Ajmer,0.0,29.163439,15.071298,22.117369
2017-03-10,Ajmer,0.16117285,26.664272,14.208564,20.436419
2017-03-11,Ajmer,0.053339157,26.2346,11.068314,18.651457
2017-03-12,Ajmer,0.0,26.479822,9.896193,18.188007
2017-03-13,Ajmer,0.0,28.17484,10.023836,19.099339
2017-03-14,Ajmer,0.0,29.947899,12.147955,21.047928
2017-03-15,Ajmer,0.0,32.958637,15.148763,24.0537
2017-03-16,Ajmer,0.0,32.21027,15.180529,23.6954
2017-03-17,Ajmer,0.0,32.151394,15.642771,23.897083
2017-03-18,Ajmer,0.0,33.50002,17.000706,25.250362
2017-03-19,Ajmer,6.583745,31.226576,15.896039,23.561308
2017-03-20,Ajmer,0.0,33.732883,16.45926,25.096073
2017-03-21,Ajmer,0.0,35.995857,17.023336,26.509598
2017-03-22,Ajmer,0.0,37.593384,18.499031,28.046207
2017-03-23,Ajmer,0.0,37.56515,20.736944,29.151047
2017-03-24,Ajmer,0.0,36.847153,20.399708,28.62343
2017-03-25,Ajmer,0.0,37.450314,20.060946,28.75563
2017-03-26,Ajmer,0.0,38.541645,20.60572,29.573683
2017-03-27,Ajmer,0.0,40.840767,21.209885,31.025326
2017-03-28,Ajmer,0.0,41.39305,22.462553,31.927803
2017-03-29,Ajmer,0.0,41.041508,23.703636,32.372574
2017-03-30,Ajmer,0.0,40.853127,22.312702,31.582914
