date,district,rain_mm,tmax_c,tmin_c,tavg_c
2026-05-12,Ajmer,0.0,40.9,30.0,35.45
2026-05-13,Ajmer,0.0,41.3,28.0,34.65
2026-05-12,Alwar,0.0,40.6,25.4,33.0
2026-05-13,Alwar,0.0,38.8,24.9,31.849999999999998
2026-05-12,Banswara,0.0,43.2,27.4,35.3
2026-05-13,Banswara,0.0,42.8,28.0,35.4
2026-05-12,Barmer,0.0,44.1,28.6,36.35
2026-05-13,Barmer,0.0,43.3,28.7,36.0
2026-05-12,Bhilwara,0.0,41.8,28.8,35.3
2026-05-13,Bhilwara,0.0,42.2,28.7,35.45
2026-05-12,Bikaner,0.0,43.2,31.4,37.3
2026-05-13,Bikaner,0.0,44.1,29.4,36.75
2026-05-12,Bundi,0.0,42.9,28.1,35.5
2026-05-13,Bundi,0.0,42.7,27.2,34.95
2026-05-12,Chittaurgarh,0.0,42.0,26.4,34.2
2026-05-13,Chittaurgarh,0.0,41.7,27.3,34.5
2026-05-12,Churu,0.0,41.6,28.2,34.9
2026-05-13,Churu,0.0,42.7,26.1,34.400000000000006
2026-05-12,Dhaulpur,0.0,40.5,27.5,34.0
2026-05-13,Dhaulpur,0.0,40.5,26.0,33.25
2026-05-12,Ganganagar,0.0,40.6,28.5,34.55
2026-05-13,Ganganagar,0.0,41.8,27.0,34.4
2026-05-12,Hanumangarh,0.0,40.7,28.0,34.35
2026-05-13,Hanumangarh,0.0,42.0,26.5,34.25
2026-05-12,Jaipur,0.0,41.7,28.1,34.900000000000006
2026-05-13,Jaipur,0.0,41.6,27.1,34.35
2026-05-12,Jaisalmer,0.0,43.3,29.9,36.599999999999994
2026-05-13,Jaisalmer,0.0,43.4,30.0,36.7
2026-05-12,Jhalawar,0.0,43.0,28.4,35.7
2026-05-13,Jhalawar,0.0,43.5,27.5,35.5
2026-05-12,Jodhpur,0.0,43.3,31.7,37.5
2026-05-13,Jodhpur,0.0,43.0,30.2,36.6
2026-05-12,Kota,0.0,42.8,28.8,35.8
2026-05-13,Kota,0.0,43.0,27.5,35.25
2026-05-12,Nagaur,0.0,43.1,31.0,37.05
2026-05-13,Nagaur,0.0,42.8,28.2,35.5
2026-05-12,Pali,0.0,43.0,30.2,36.6
2026-05-13,Pali,0.0,43.2,29.9,36.55
2026-05-12,Sawai Madhopur,0.0,42.2,28.6,35.400000000000006
2026-05-13,Sawai Madhopur,0.0,42.4,26.5,34.45
2026-05-12,Sikar,0.0,41.3,28.5,34.9
2026-05-13,Sikar,0.0,41.9,26.9,34.4
2026-05-12,Sirohi,0.0,42.7,29.6,36.150000000000006
2026-05-13,Sirohi,0.0,42.5,29.4,35.95
2026-05-12,Udaipur,0.0,39.8,26.9,33.349999999999994
2026-05-13,Udaipur,0.0,40.3,27.1,33.7
