date,district,rain_mm,tmax_c,tmin_c,tavg_c,heat_stress_score,pred_prob_critical_t1,pred_critical_t1,risk_score_next_day,alert_level_next_day,rank_within_date,pipeline_mode,aqi_status,confidence_tag,recommended_action
2026-05-01,Pali,0.0,41.9,28.8,35.35,32.695057623655885,0.9844527331086158,1,55.70763311417788,RED,1,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Barmer,0.0,42.7,26.0,34.35,25.9286072043011,0.983807994733456,1,51.28687449846667,RED,2,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Bikaner,0.0,42.2,25.6,33.900000000000006,16.33711843010758,0.9464781118006466,1,43.74586089259255,RED,3,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Kota,0.0,42.2,26.8,34.5,17.25867696774198,0.8971850911911412,1,42.61961822072223,RED,4,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Jaisalmer,0.0,41.7,27.0,34.35,17.812443881720483,0.8523282046238012,1,41.40957568495135,RED,5,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Nagaur,0.0,41.6,26.8,34.2,16.66942590322581,0.8730907442512994,1,41.393302885892254,RED,6,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Churu,0.0,39.2,22.4,30.8,10.5,0.9036108605521443,1,38.45138011932505,RED,7,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Bundi,0.0,41.8,25.8,33.8,13.853279311827933,0.8362432720658383,0,38.273146074992496,ORANGE,8,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Alwar,0.0,35.5,19.9,27.7,10.5,0.8654300626839974,1,37.11505219393991,RED,9,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Sikar,0.0,39.9,22.9,31.4,10.5,0.8567275016997805,1,36.810462559492315,RED,10,Heat-only,excluded,High,Emergency heat-health action
2026-05-01,Hanumangarh,0.0,38.7,23.8,31.25,10.5,0.8346195653942334,0,36.03668478879817,ORANGE,11,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Dhaulpur,0.0,38.0,23.0,30.5,10.5,0.8333796127214109,0,35.99328644524938,ORANGE,12,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Ganganagar,0.0,39.0,24.1,31.55,10.5,0.8229995142610567,0,35.629982999136985,ORANGE,13,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Jaipur,0.0,40.5,23.0,31.75,10.5,0.807631130712361,0,35.092089574932636,ORANGE,14,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Jodhpur,0.0,41.2,28.5,34.85,17.097724924731192,0.6429242602034888,0,33.61587030819739,YELLOW,15,Heat-only,excluded,Low,Targeted surveillance + advisories
2026-05-01,Sirohi,0.0,40.8,26.4,33.599999999999994,15.666334354838689,0.5917623252037636,0,30.894798712776876,YELLOW,16,Heat-only,excluded,Low,Targeted surveillance + advisories
2026-05-01,Sawai Madhopur,0.2,41.2,25.5,33.35,9.0,0.7139883222444203,0,30.83959127855471,ORANGE,17,Heat-only,excluded,Medium,Heat-health preparedness activation
2026-05-01,Bhilwara,0.0,40.5,25.2,32.85,10.5,0.5548709753849869,0,26.245484138474538,YELLOW,18,Heat-only,excluded,Low,Targeted surveillance + advisories
2026-05-01,Jhalawar,1.7,41.2,24.4,32.8,9.14127963440859,0.5340492037126365,0,24.633553892307862,YELLOW,19,Heat-only,excluded,Low,Targeted surveillance + advisories
2026-05-01,Ajmer,0.0,39.5,25.9,32.7,10.5,0.4303814942786502,0,21.888352299752757,YELLOW,20,Heat-only,excluded,Low,Targeted surveillance + advisories
2026-05-01,Udaipur,0.0,38.2,23.2,30.700000000000003,10.5,0.3075352183745091,0,17.588732643107818,GREEN,21,Heat-only,excluded,Low,Routine monitoring
