date,district,target_score_t1,pred_prob_critical_t1,pred_prob_heatwave_t1,pred_critical_t1,pred_heatwave_t1,risk_score_next_day,alert_level_next_day,rank_within_date,pipeline_mode,aqi_status,confidence_tag,recommended_action
2025-12-30,Ganganagar,11.486867201788858,0.001059868872261943,0.001059868872261943,0,0,7.503559091691925,GREEN,1,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Hanumangarh,11.375356946568914,0.0010873180910374433,0.0010873180910374433,0,0,7.432038148456105,GREEN,2,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Churu,10.75663541533724,0.001059868872261943,0.001059868872261943,0,0,7.028908430498373,GREEN,3,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Jaisalmer,10.323551828885632,0.001059868872261943,0.001059868872261943,0,0,6.747404099304829,GREEN,4,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Alwar,10.216640282991202,0.0010873180910374433,0.0010873180910374433,0,0,6.678872317130592,GREEN,5,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Bikaner,10.201362036950147,0.001059868872261943,0.001059868872261943,0,0,6.667980734546764,GREEN,6,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Sikar,10.140560620293252,0.001059868872261943,0.001059868872261943,0,0,6.628459813719782,GREEN,7,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Nagaur,10.022925030703814,0.001059868872261943,0.001059868872261943,0,0,6.5519966804866465,GREEN,8,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Jodhpur,9.75252381800586,0.001059868872261943,0.001059868872261943,0,0,6.376235892232978,GREEN,9,Heatwave-v3,excluded,Low,Routine monitoring
2025-12-30,Sirohi,9.58268304668622,0.001059868872261943,0.001059868872261943,0,0,6.265839390875211,GREEN,10,Heatwave-v3,excluded,Low,Routine monitoring
